Consumption_ethylene_co2_per_tonneethylene,ConventionalSC_ethylene_co2_per_tonneethylene,ODHE_ethylene_co2_per_tonneethylene,ElectrifiedSC_ethylene_co2_per_tonneethylene,ElectrifiedReactor_ethylene_co2_per_tonneethylene,Time_Index,Load_tonneperhr_z1,Load_tonneperhr_z2,Load_tonneperhr_z3
,,,,,44,4303.652968,4781.836631,5260.020294
,,,,,45,4303.652968,4781.836631,5260.020294
,,,,,46,4303.652968,4781.836631,5260.020294
,,,,,47,4303.652968,4781.836631,5260.020294
,,,,,48,4303.652968,4781.836631,5260.020294
,,,,,49,4303.652968,4781.836631,5260.020294
,,,,,50,4303.652968,4781.836631,5260.020294
,,,,,51,4303.652968,4781.836631,5260.020294
,,,,,52,4303.652968,4781.836631,5260.020294
,,,,,53,4303.652968,4781.836631,5260.020294
,,,,,54,4303.652968,4781.836631,5260.020294
,,,,,55,4303.652968,4781.836631,5260.020294
,,,,,56,4303.652968,4781.836631,5260.020294
,,,,,57,4303.652968,4781.836631,5260.020294
,,,,,58,4303.652968,4781.836631,5260.020294
,,,,,59,4303.652968,4781.836631,5260.020294
,,,,,60,4303.652968,4781.836631,5260.020294
,,,,,61,4303.652968,4781.836631,5260.020294
,,,,,62,4303.652968,4781.836631,5260.020294
,,,,,63,4303.652968,4781.836631,5260.020294
,,,,,64,4303.652968,4781.836631,5260.020294
,,,,,65,4303.652968,4781.836631,5260.020294
,,,,,66,4303.652968,4781.836631,5260.020294
,,,,,67,4303.652968,4781.836631,5260.020294
,,,,,68,4303.652968,4781.836631,5260.020294
,,,,,69,4303.652968,4781.836631,5260.020294
,,,,,70,4303.652968,4781.836631,5260.020294
,,,,,71,4303.652968,4781.836631,5260.020294
,,,,,72,4303.652968,4781.836631,5260.020294
,,,,,73,4303.652968,4781.836631,5260.020294
,,,,,74,4303.652968,4781.836631,5260.020294
,,,,,75,4303.652968,4781.836631,5260.020294
,,,,,76,4303.652968,4781.836631,5260.020294
,,,,,77,4303.652968,4781.836631,5260.020294
,,,,,78,4303.652968,4781.836631,5260.020294
,,,,,79,4303.652968,4781.836631,5260.020294
,,,,,80,4303.652968,4781.836631,5260.020294
,,,,,81,4303.652968,4781.836631,5260.020294
,,,,,82,4303.652968,4781.836631,5260.020294
,,,,,83,4303.652968,4781.836631,5260.020294
,,,,,84,4303.652968,4781.836631,5260.020294
,,,,,85,4303.652968,4781.836631,5260.020294
,,,,,86,4303.652968,4781.836631,5260.020294
,,,,,87,4303.652968,4781.836631,5260.020294
,,,,,88,4303.652968,4781.836631,5260.020294
,,,,,89,4303.652968,4781.836631,5260.020294
,,,,,90,4303.652968,4781.836631,5260.020294
,,,,,91,4303.652968,4781.836631,5260.020294
,,,,,92,4303.652968,4781.836631,5260.020294
,,,,,93,4303.652968,4781.836631,5260.020294
,,,,,94,4303.652968,4781.836631,5260.020294
,,,,,95,4303.652968,4781.836631,5260.020294
,,,,,96,4303.652968,4781.836631,5260.020294
,,,,,97,4303.652968,4781.836631,5260.020294
,,,,,98,4303.652968,4781.836631,5260.020294
,,,,,99,4303.652968,4781.836631,5260.020294
,,,,,100,4303.652968,4781.836631,5260.020294
,,,,,101,4303.652968,4781.836631,5260.020294
,,,,,102,4303.652968,4781.836631,5260.020294
,,,,,103,4303.652968,4781.836631,5260.020294
,,,,,104,4303.652968,4781.836631,5260.020294
,,,,,105,4303.652968,4781.836631,5260.020294
,,,,,106,4303.652968,4781.836631,5260.020294
,,,,,107,4303.652968,4781.836631,5260.020294
,,,,,108,4303.652968,4781.836631,5260.020294
,,,,,109,4303.652968,4781.836631,5260.020294
,,,,,110,4303.652968,4781.836631,5260.020294
,,,,,111,4303.652968,4781.836631,5260.020294
,,,,,112,4303.652968,4781.836631,5260.020294
,,,,,113,4303.652968,4781.836631,5260.020294
,,,,,114,4303.652968,4781.836631,5260.020294
,,,,,115,4303.652968,4781.836631,5260.020294
,,,,,116,4303.652968,4781.836631,5260.020294
,,,,,117,4303.652968,4781.836631,5260.020294
,,,,,118,4303.652968,4781.836631,5260.020294
,,,,,119,4303.652968,4781.836631,5260.020294
,,,,,120,4303.652968,4781.836631,5260.020294
