Zone,1,2,3
t39,0.00012551744323705124,5.256819145707945e-5,6.305116565052683e-5
t40,0.00014452203688522728,6.539434666084019e-5,8.021693805624515e-5
t41,0.0001668136510361869,8.652398185279886e-5,0.00017434545460556815
t42,8.58545012162787,19.76016072830743,49.666897658088104
t43,8.408368971683137,49.65966590943226,49.66695895240194
t44,53.42072288670026,49.659681588197905,49.66696536728356
t45,7.690063169321456,49.659674480206924,49.666969073634434
t46,7.4935159869659875,49.659670612196415,49.66696851399534
t47,7.493500441323478,49.65966666390578,49.66696487109528
t48,7.493493659581248,49.65966405382148,49.666959438558784
t49,7.493490275229678,49.659662467507545,49.66695616944051
t50,7.49348782110439,49.65966073402774,49.66695229934223
t51,7.4934855030471335,49.659658972650185,49.66695025341904
t52,7.493482536693284,49.6596578337207,49.66694557207851
t53,7.4934773334961085,49.6596526308867,49.66688930445983
t54,7.493414944209448,42.031946255699246,42.038126302624015
t55,0.00021083512938019778,42.03192575445187,42.03809496150506
t56,0.00012141412689611314,42.031900080538186,42.03808326699184
t57,4.863712411479049e-5,42.031883255020695,42.03807756717383
t58,4.558698325450303e-5,42.031875575526215,42.03807744086703
t59,5.8103105273646445e-5,0.0023184613961449423,42.03807001760199
t60,0.00013481690791735946,0.000829698440447918,42.038047155603145
t61,0.0001977673828379013,0.003583209868374672,42.03799476222968
t62,0.0002217652882695841,42.03190034178351,42.0380413474173
t63,0.0002375739724141594,42.03192749882977,42.03806446927447
t64,0.0002530790260085353,42.031954589901765,42.03807564996249
t65,0.00027180281541330044,151.02610018884445,42.038097876235696
t66,12.521857512334021,151.0262096901881,113.38747459052395
t67,12.238374577279258,151.026271558583,113.3878308961172
t68,178.17537656048592,151.02831012601524,113.38785599716596
t69,11.264960494386129,151.02625588422558,113.3878418901651
t70,10.759931492925462,151.0262387534099,113.38783449603102
t71,9.973532134533047,151.0262290515686,113.38782635017606
t72,9.973524971925507,151.0262242965083,113.38782247513443
t73,9.973521409086844,151.02622165992497,113.38781623022342
t74,9.9735190227239,151.02621928439268,113.38781159596579
t75,9.973516530301747,151.02621741469721,113.38780476174473
t76,9.973513170287335,151.02621474243134,113.38778470461786
t77,9.973506769064947,151.02619941388082,95.97147783723715
t78,9.973386708510882,95.97355205832837,95.97132069235852
t79,0.00035327803553465145,95.97129011281746,0.003164201622255612
t80,0.0003359411112063935,95.97127229140492,0.00037502262631141915
t81,0.00030439953124510835,95.97126310829871,68.4418579501041
t82,0.0002850298243809876,95.97125473070247,95.96825514595288
t83,0.00029574657533953464,95.97125285518895,95.97125878651097
t84,0.00029277934583512265,95.97124979705107,95.97130259944282
t85,0.0002940277512748972,95.97124175684937,95.97133176263411
t86,0.0003580365807522772,95.97125081641535,95.97136303075685
t87,0.00041772623867777133,95.97124980284912,95.97160122764842
t88,0.0004501846427192584,95.97125296043608,150.9277258574774
t89,0.0004716152480818743,95.97126581190224,150.9278001361486
t90,97.67413304025787,113.38758656474823,150.92783964427483
t91,144.40756033921645,113.38761875733837,150.9278491002814
t92,139.1328462753103,113.38763719374698,150.92784592433736
t93,133.94354416641886,113.38762120013862,150.9278393407006
t94,128.40243610575615,113.38761482230527,150.92783243298615
t95,119.34747671973084,113.38760955832917,150.92782456595495
t96,113.38737183174595,113.38760628537996,150.92781564013532
t97,113.38736671914448,113.38760233890034,150.92780722549617
t98,113.38736341512924,113.38759777241746,150.9277947241271
t99,113.38736034089658,113.38759206320745,150.9277813412031
t100,113.38735597543396,113.387583214446,150.92775795536534
t101,113.38734872548504,113.38751755221122,150.9275911350277
t102,87.31551430088783,19.779600109358142,76.67480401475858
t103,61.79568231838977,0.00011607828081979103,76.67472542726794
t104,61.79566820258614,6.195058170581927e-5,76.67469454796573
t105,61.79565947270946,4.036051613334285e-5,76.67467863344719
t106,61.79563648743161,3.757445812026714e-5,76.674688122521
t107,63.675929241184065,5.99169880242546e-5,76.6747004457318
t108,11.143494113175285,6.217036933208035e-5,76.67469003354476
t109,73.17633581763782,6.559370780416446e-5,76.6746792720776
t110,66.11804825183147,0.00060445729996925,76.6746935924025
t111,25.048195153454255,19.779599900224294,76.67470862240441
t112,79.62937726151074,19.77962052742769,76.67473785389481
t113,80.16296416893643,61.7943299550154,90.58920337729323
t114,79.71011662980557,71.27432021948319,90.58926391120028
t115,137.93237286250144,71.27435655166511,90.58927858752861
t116,133.18806172854332,71.27439054660314,90.58927730961678
t117,128.4894092285497,71.27437704914509,90.58927481254194
t118,123.42471018072216,71.2743632136366,90.58927009144091
t119,115.19082926432341,71.27435281154177,90.58926536287171
t120,109.03990890567148,71.27434659123534,90.58926040398383
t121,109.03990532377716,71.27434282289117,90.5892546168777
t122,109.03990332124482,71.27433992177274,90.58924804399881
t123,109.03990211019155,71.27433694809038,90.58923977076549
t124,109.03990061489253,71.27433356361054,90.58922223107758
t125,109.03989580760135,71.27432156910834,90.5889807079723
t126,3.3257057308539597,3.314265810087298,0.0004804008194076314
t127,0.00013880838773176198,0.0002601341824413656,0.00040181305436368797
t128,8.244338272302312e-5,0.00010914583193937332,0.00038492284464568575
t129,4.499674242470432e-5,9.231473137130316e-5,0.00035605721387619416
t130,4.4088671362739404e-5,0.00016663103902798737,0.00025070744401312935
t131,6.57491296953643e-5,0.000945505107269039,0.0001841416714861483
t132,0.0001071596472381531,3.314115427898129,0.0001726737585540586
t133,0.0001296441435113524,3.3141809379600944,0.00019344439483568604
t134,0.00013391802815211233,3.3142386793370173,0.000220241679851228
t135,0.00014982679001208243,3.314251336997103,0.0003243242596481605
t136,0.0001659440418435602,3.314266132635463,0.000353916374829503
t137,0.0001791252190012509,3.3143028943823682,0.00039615695875536144
t138,0.0004400194768987988,83.48417226834755,83.48160871315666
t139,113.04188305210222,83.48421932558524,83.48174198255181
t140,108.98309860749082,83.48422782247616,83.48175101398182
t141,104.73814108207709,83.48422047682145,83.4817528307562
t142,100.09297862417907,83.48421163661435,83.48174391782027
t143,93.8297114504111,83.48420550260869,83.4817344586943
t144,93.829705779583,83.48420209203941,83.48173017496693
t145,93.82970251588401,83.48419985270864,83.48172560680241
t146,93.82970056426896,83.48419804817529,83.48172146949811
t147,93.82969919014407,83.48419616584432,83.48171673900079
t148,93.82969762119895,83.48419425500786,83.48170655005164
t149,93.82969328709277,83.48418764199282,83.48141157170238
t150,77.73062093605802,70.6616316817646,41.41805283248706
t151,70.66116897624015,70.66099677942022,0.00024605246080075
t152,70.66110155688521,70.6609866262032,8.863271199147085e-5
t153,70.66080560601955,70.66083977884021,0.00011767978064114676
t154,0.001058647657652992,9.983069472904097,0.0001659189007468731
t155,0.030691487995182273,15.497626516248545,0.00197568277670525
t156,76.68608286448331,70.66060063418375,41.41803435785801
t157,80.82251101362151,70.6609710995802,41.41806869210612
t158,84.40722998211697,70.66097587153885,41.418101783214155
t159,86.95734189597393,70.66097830250646,41.41814453429698
t160,88.32785728058066,70.66098797421758,70.66478204559071
t161,88.64999032401168,70.66100745439707,97.04363612490697
t162,130.5923708613616,83.48417069818295,97.04372937398514
t163,127.18456110435451,83.48423220786344,97.04378312069589
t164,122.99135177371268,87.24024702176828,97.04378755944614
t165,118.5390289106216,83.484233909087,97.04377289950662
t166,113.05685358371835,83.48420034955868,97.04375727085792
t167,105.26085770349341,83.48418626444037,97.04374615666354
t168,105.26085130475697,83.48418019582193,97.04373780682559
