BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t15,1.5234313163160658e6,0.4229866854644077,-489594.39955070906,0.0,0.0,0.0,7.893005305243768e-5,33311.90470370858,-0.0,-1.0721491861477762e6,1.2826641621297877e6,24290.959149473318,-577131.1589660565,0.0,0.0,0.0,9.07961505370048e-5,-34001.47009175126,-0.0,-676936.9643427503,378771.0537632913,33516.79948297119,-154195.5540967256,0.0,0.0,0.0,0.00010281741534681701,689.5653880426853,-0.0,-254078.794186287
t16,1.436095489700771e6,0.41936281376840717,-386564.9252935226,0.0,0.0,0.0,7.880678480850734e-5,33311.90468051913,-0.0,-1.08784262334482e6,1.2200306684337133e6,35464.9482592686,-514393.6136480001,0.0,0.0,0.0,9.015715637332076e-5,-33890.819055471315,-0.0,-688324.417830569,370458.42272511584,25733.24548652756,-138887.89241734918,0.0,0.0,0.0,0.0001025008183850672,578.9143749521827,-0.0,-253179.74427619352
t17,1.2900352735600285e6,0.44668743540368916,-230950.1136843875,0.0,0.0,0.0,9.294499698425185e-5,33311.90262881166,-0.0,-1.0973966499460973e6,1.0411392789266633e6,57446.09360846718,-351520.5747897905,0.0,0.0,0.0,8.933304598665449e-5,-33906.31930375571,-0.0,-694272.0050025507,298668.72422988754,44959.81461136679,-87032.84702726442,0.0,0.0,0.0,0.00010134012322148715,594.4166749440519,-0.0,-252487.23285895935
t18,944450.4825778815,106911.80408189482,-0.382120605310232,0.0,0.0,0.0,9.259361971992331e-5,33311.92007813304,-0.0,-1.0896763986070387e6,595384.2155892967,202568.27023934157,-59296.86852778913,0.0,0.0,0.0,8.863331531399838e-5,-33537.66187152338,-0.0,-686233.091446925,182012.34166366723,109988.87895434472,-38790.89802073677,0.0,0.0,0.0,9.95190031932457e-5,225.7417933903398,-0.0,-248733.09201816353
t19,386289.572170241,639882.8891206153,-0.42365578014684635,0.0,0.0,0.0,8.11024025126894e-5,33311.91757558393,-0.0,-1.0644864199266557e6,150167.14206043052,590553.9378410731,-21327.40973481678,0.0,0.0,0.0,8.960088723538295e-5,-33223.623121200275,-0.0,-667284.2237800929,77009.84869009678,191595.26696805673,-21191.912844724662,0.0,0.0,0.0,9.895616640332919e-5,-88.2944543836602,-0.0,-242621.98249414965
t20,256889.8089869419,733871.9606099373,-0.4618207824984179,0.0,0.0,0.0,8.019328287193956e-5,33311.91973691659,-0.0,-1.029075587276916e6,94296.74017369768,621576.8661320852,-14802.986059171786,0.0,0.0,0.0,9.094596164895859e-5,-32773.16300031779,-0.0,-649411.2407846153,71651.26633010533,193865.40704479138,-20520.255463811594,0.0,0.0,0.0,9.875295998798241e-5,-538.7567365987979,-0.0,-239754.74224033798
t21,274786.82971116423,681116.0839132803,-0.48908768946905734,0.0,0.0,0.0,8.052788050191558e-5,33311.91892891354,-0.0,-994216.61175938,103588.14589518351,609720.9891232715,-17561.35095528238,0.0,0.0,0.0,9.063288309870886e-5,-33180.39090096319,-0.0,-643681.248265267,67755.05303133711,195996.97708302684,-19946.480531286543,0.0,0.0,0.0,9.819481195092677e-5,-131.52802795035313,-0.0,-238971.1108997835
t22,290855.75867527386,622197.8408511538,-0.46066756080342497,0.0,0.0,0.0,8.1201830728489e-5,33311.917649715615,-0.0,-951367.2048484775,112720.96245436829,570130.9361744102,-25074.29908447332,0.0,0.0,0.0,9.247779508208738e-5,-33470.56341833374,-0.0,-605420.8551772138,69889.40861607416,185776.9294772557,-22338.151037944663,0.0,0.0,0.0,9.863511415641542e-5,158.64576861812384,-0.0,-228783.90347257548
t23,292775.1250633924,545179.9752085303,-0.43266468991069557,0.0,0.0,0.0,8.30883581501791e-5,33311.91786399583,-0.0,-876268.6467744191,119731.22140412618,517178.9179321693,-32542.083414803277,0.0,0.0,0.0,9.47585585879382e-5,-33661.63926241403,-0.0,-551820.0390785004,60789.537575858856,176240.26051516412,-24060.554522337432,0.0,0.0,0.0,9.828120353466622e-5,349.72139841819444,-0.0,-208616.02711101872
t24,298100.091444433,456082.0287168885,-0.4222926889066644,0.0,0.0,0.0,8.519435026904457e-5,33311.917918689,-0.0,-792495.5844035333,122367.88707972999,469503.3358082516,-37395.86797172216,0.0,0.0,0.0,9.630110157534503e-5,-33622.27545370433,-0.0,-501966.68644180795,61639.17665343368,158923.46656568378,-26920.045490794444,0.0,0.0,0.0,9.854260183232991e-5,310.3575350153278,-0.0,-189250.00607468048
t25,306939.99465668626,378794.7059141841,-0.4267287889097831,0.0,0.0,0.0,8.871696210102834e-5,33311.917856903994,-0.0,-724048.0544748887,123868.15737701379,438434.75225992425,-39810.79470117671,0.0,0.0,0.0,9.804484109707702e-5,-33498.67084730272,-0.0,-470107.20271872287,68345.17270010649,142010.71679426273,-29789.907678273867,0.0,0.0,0.0,9.975081547046348e-5,186.75299039872334,-0.0,-176049.7665163483
t26,303458.2776218675,335184.7536904016,-0.4495445819943029,0.0,0.0,0.0,9.075527848523492e-5,33311.917676333265,-0.0,-676956.2458601699,123630.36373505689,421810.9633909761,-40872.00587366858,0.0,0.0,0.0,9.907569919442635e-5,-33418.79607214748,-0.0,-452264.44120277767,66022.16565813578,136280.5214046127,-30744.518015054586,0.0,0.0,0.0,9.915748163157001e-5,106.87839581421213,-0.0,-166962.07283053838
t27,302775.4005703159,305176.4913184249,-0.46080947637835745,0.0,0.0,0.0,9.162098176886058e-5,33311.917559382855,-0.0,-646264.9413931309,118815.47265164726,416079.1093760062,-41070.81974701917,0.0,0.0,0.0,9.883668625450688e-5,-33347.64095591874,-0.0,-441590.2146319243,63459.57806123309,134514.41493816263,-30681.97582556766,0.0,0.0,0.0,9.844340249158586e-5,35.723396535882785,-0.0,-162624.76448049274
t28,300911.6511300548,290674.474708682,-0.46006738678353315,0.0,0.0,0.0,9.249961390772886e-5,33311.91754319145,-0.0,-629898.9283162139,117443.302504098,418162.85903593904,-40009.928145865175,0.0,0.0,0.0,9.926317236816494e-5,-33246.62858593445,-0.0,-443463.9463629348,67920.40638736333,129837.34873286646,-30668.449149982265,0.0,0.0,0.0,9.919918466421451e-5,-65.28895725699476,-0.0,-162321.03140275847
t29,309668.8958541741,285056.3965563119,-0.4254202069436615,0.0,0.0,0.0,9.234715119420877e-5,33311.91868171297,-0.0,-633037.6157556226,225554.8680388525,326652.5822007334,-40358.93007758864,0.0,0.0,0.0,9.960624239759011e-5,-32031.324004028946,-0.0,-460931.9615326779,163754.44736997195,73140.36402860022,-64410.93136755995,0.0,0.0,0.0,0.00010107170739465004,-1280.5946776840192,-0.0,-166500.39855238228
