,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Bioresource Emissions,Biomass Capture,Conventional NG,Syn NG Plant Emissions,Syn NG,Bio NG,Conventional Liquid Fuels,Synfuel Plant Emissions,Synfuels,Biofuels,Ethylene Emissions,Total
t35,1.9677961034961395,0.3797986977391935,-0.12983337509797382,16843.78810649717,0.0,-77305.02283574581,0.06996853120282731,0.12364882824995545,0.026074995195784913,12295.491278343392,3317.230442484858,7230.88926882841,6489.628633816776,4187.5588414654185,179.17946364694407,-26758.819346882065
t36,1.9632099576811082,0.379798031889728,-0.13002646171202448,16843.788614895842,0.0,-77305.02501117795,0.06968562142796351,0.12301329361252877,0.025977024698097293,12295.491681134861,3317.227212733256,7230.890034788683,6489.629792458637,4187.558840568306,179.1794749016278,-26758.827702229144
t37,1.9843289601972118,0.37979586632953977,-0.12966079797376778,16843.788269981607,0.0,-77305.02384294756,0.06994870602556663,0.12357400934469631,0.02605136357527945,12295.491328993548,3317.2309562966475,7230.889164977662,6489.6284014242265,4187.5588282775325,179.17947725478516,-26758.803377634053
t38,2.008092660011882,0.37979324241236034,-0.1293883907083724,16843.788385351516,0.0,-77305.0242231204,0.0698603471775397,0.12343598594844138,0.026019038768986334,12295.49145657803,3317.2307910134627,7230.889272164939,6489.628511910516,4187.55881445808,179.17949178327345,-26758.779686976977
t39,2.039338567126241,0.37979274217303866,-0.12920569510686744,16843.788575282902,0.0,-77305.02440875206,0.0696461405116641,0.12297692324193546,0.025922903417518756,12295.491765271621,3317.2299344060034,7230.889564323509,6489.628911980248,4187.558797375992,179.17953595830275,-26758.74885257211
t40,2.1085660851249224,0.37979757869286773,-0.1268184285239464,16843.787683218397,0.0,-77305.02310917317,0.07068675030382494,0.12490880019278094,0.026163480014697996,12295.490472114392,3317.244160479916,7230.886799521628,6489.624197535692,4187.558816366505,179.17954541835783,-26758.668130252478
t41,2.1968602829112926,0.37980080541202693,-0.12400877679597391,16843.788128355005,0.0,-77305.02388180105,0.07028947210488702,0.12413733607723806,0.025991330886103406,12295.491095996194,3317.2429867921614,7230.886707297709,6489.624095705462,4187.558789688295,179.17961242949855,-26758.579395086148
t42,2.4269486368319604,0.38024276159967935,-0.1013058213678694,16843.771374365508,0.0,-77304.99257366876,0.0967861028847345,0.11753595119385433,0.02398730280451794,12295.468133005832,3317.268489356141,7230.871050303796,6489.587239642412,4187.559639655246,179.18147967557155,-26758.340972730315
t43,2.6125103238463505,0.3801126230469865,-0.09761429210895115,16843.766426112037,0.0,-77304.98035655497,0.09914478476203985,0.13839961014391322,0.02750308512078544,12295.462084172597,3317.2561578299023,7230.880937883173,6489.602929244322,4187.560188242501,179.18138766529478,-26758.110189270334
t44,2.7514296383199905,0.3800999428202437,-0.09097659082834224,16843.769127834534,0.0,-77305.01005471474,0.09939682257943278,0.13942569124756454,0.027839292013600456,12295.461972021765,3317.249103086649,7230.882333812073,6489.605114882036,4187.562577568582,179.18178492129738,-26757.990825791654
t45,2.7134508458640214,0.3801083632749484,-0.09847271484330682,16843.76791214795,0.0,-77304.98386129369,0.09735896420005719,0.1377240657350327,0.02747191710085993,12295.463945425228,3317.243726294878,7230.884034895063,6489.608740348469,4187.5601371877565,179.18136888873138,-26758.016354664276
t46,2.7609753207767094,0.3801118327064241,-0.09952658131396931,16843.767513538984,0.0,-77304.98286523367,0.0977743450076107,0.1382707697207256,0.027545761913017084,12295.463444859037,3317.2450888492267,7230.883781110069,6489.608144278658,4187.560145206577,179.1813584298096,-26757.96823751251
t47,2.7863092143943384,0.3801148140770469,-0.09975799099892302,16843.76773213311,0.0,-77304.98388609303,0.09762253859507813,0.13827730088107612,0.02754923040816468,12295.46359770419,3317.243969017762,7230.884121793695,6489.608708980682,4187.560156204818,179.18135640989624,-26757.94412874152
t48,2.7932287571183254,0.38011684166113163,-0.09979617821994531,16843.768139916454,0.0,-77304.98559698166,0.09732070193684347,0.13811568614502756,0.02752854092982579,12295.463930687645,3317.242366573759,7230.884561363398,6489.609488227746,4187.560166772453,179.18135927456518,-26757.939069816068
t49,2.821841608411303,0.38011767980712585,-0.09973894004456116,16843.76739225606,0.0,-77304.98320344462,0.09802620983061458,0.1387301994903477,0.027602463318060814,12295.463134261647,3317.245200836939,7230.883863777116,6489.608190196652,4187.560174187896,179.18135041859807,-26757.907318288886
t50,2.8298671315442037,0.380117932978151,-0.09973411453103372,16843.767410985536,0.0,-77304.9833306663,0.09801911359295107,0.13876845333687146,0.02760646545367689,12295.463138365245,3317.245106029704,7230.883881885635,6489.608249375847,4187.5601801985995,179.18135020122148,-26757.899368642145
t51,2.82119579605552,0.3801180168021735,-0.09977599624326364,16843.768061562863,0.0,-77304.98565955128,0.09745537970933166,0.13834116368388263,0.02755318778859421,12295.46377067727,3317.2425715589325,7230.884478243512,6489.609414524541,4187.56018763519,179.1813549946796,-26757.9109328065
t52,2.834867831578684,0.38011822977163295,-0.0996723835583415,16843.767385915944,0.0,-77304.98344755555,0.09808001017509516,0.13889318322469904,0.02762304925990299,12295.463061057619,3317.2453777937676,7230.883700966762,6489.608063639218,4187.5601906066495,179.18134718659041,-26757.89441046855
t53,2.8251517695827166,0.38011900232292806,-0.09963872092885556,16843.766843509304,0.0,-77304.98171839227,0.09857834998194812,0.13933883150649887,0.02768367712788788,12295.4624780666,3317.247781553783,7230.882967245728,6489.606854086874,4187.560193371043,179.18133232494242,-26757.9020353244
t54,2.7540729924231093,0.38010559645232084,-0.10116075473005733,16843.769427142583,0.0,-77304.98779166481,0.09499261886729786,0.13968606712910853,0.027771553816950078,12295.46575919356,3317.2471839257246,7230.883587369176,6489.60854237771,4187.560025572895,179.18114047123848,-26757.976657537958
t55,2.7527236157613926,0.38010681152146897,-0.10337759681971409,16843.764142397362,0.0,-77304.94949405953,0.09559530214136679,0.14026668148912788,0.02782717314161127,12295.465003161193,3317.2515825388905,7230.8826258148265,6489.606834983531,4187.559550199488,179.1810563315404,-26757.94555664547
t56,2.752702631818722,0.3801066247859806,-0.10366178011013434,16843.76396040226,0.0,-77304.94876848992,0.0957246153966416,0.1404305671328177,0.027848499062146297,12295.464845884535,3317.2526491581802,7230.882413898446,6489.606459965013,4187.559558540364,179.1810496209415,-26757.944679862096
t57,2.7492932661598704,0.38010551444147367,-0.10380096428398942,16843.764050954356,0.0,-77304.94875748118,0.09559324003709264,0.14022330066984565,0.027821217808888146,12295.465006559592,3317.2513971267285,7230.882688787296,6489.607076950358,4187.559563546955,179.1810488895221,-26757.948689091547
t58,2.774628639616009,0.380102734758696,-0.10399196433355641,16843.763779232497,0.0,-77304.94747367482,0.09574602447048906,0.140482628438755,0.027846819234502176,12295.464816715727,3317.253240942861,7230.882446419546,6489.606508600553,4187.559559122793,179.18104449641842,-26757.921263262237
t59,2.7232634666447444,0.3800824060049865,-0.10946234828685261,16843.763134944442,0.0,-77304.934543603,0.09245312934055402,0.14483192878363935,0.028626960844165446,12295.466770410994,3317.2521380624353,7230.883920024252,6489.61005527053,4187.558479188236,179.18053698530258,-26757.959713173463
