Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor,AnnualEmissions
SE_battery_moderate_0,1,0.0,0.0,805139.5861437095,805139.5861437095,0.0,0.0,6.276629255485053e6,6.276629255485053e6,0.0,0.0,0.0,0.0,7.053022774618896e9,2.1328749527064106e9,0.3024057940634764,0.0
SE_nuclear_mid_0,1,0.0,0.0,2.2695506979968187,2.2695506979968187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19881.264114452133,14589.19140647383,0.7338160854605127,0.0
MIDAT_naturalgas_ccccsavgcf_conservative_0,2,0.0,0.0,1.0117447516927063,1.0117447516927063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8862.884024828107,3286.8359802614914,0.3708539986593403,125.19252546746007
MIDAT_naturalgas_ccavgcf_moderate_0,2,0.0,0.0,45632.622636162545,45632.622636162545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.997417742927839e8,1.9378942726306987e8,0.4847865290184362,6.549855809589502e7
MIDAT_naturalgas_ctavgcf_moderate_0,2,0.0,0.0,1.6933798969797167,1.6933798969797167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14834.007897542318,3782.930389283987,0.2550174177749183,1954.7031617481694
MIDAT_battery_moderate_0,2,0.0,0.0,677832.6958638888,677832.6958638888,0.0,0.0,5.98553649901757e6,5.98553649901757e6,0.0,0.0,0.0,0.0,5.937814415767666e9,1.861979583933056e9,0.3135799561179669,0.0
MIDAT_nuclear_mid_0,2,0.0,0.0,3.3415130125392842,3.3415130125392842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29271.65398984413,22053.19776076508,0.7533977331249027,0.0
NE_naturalgas_ccccsavgcf_conservative_0,3,0.0,0.0,0.7994089024973139,0.7994089024973139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7002.82198587647,2343.4277779546737,0.33464048960276,89.32361923255243
NE_naturalgas_ccavgcf_moderate_0,3,0.0,0.0,5.630215673216149,5.630215673216149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49320.689297373465,22732.772823506504,0.4609175813914896,7687.334600740936
NE_naturalgas_ctavgcf_moderate_0,3,0.0,0.0,1.3232467636127228,1.3232467636127228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11591.641649247451,2937.72606005723,0.253434858404888,1518.658234148138
NE_battery_moderate_0,3,0.0,0.0,282748.5703743838,282748.5703743838,0.0,0.0,1.9912314246614904e6,1.9912314246614904e6,0.0,0.0,0.0,0.0,2.4768774764796023e9,6.678160937532965e8,0.26962015686882773,0.0
NE_nuclear_mid_0,3,0.0,0.0,3.719020000615559,3.719020000615559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32578.6152053923,26376.124840103977,0.8096146712748642,0.0
NE_offshorewind_class10_moderate_floating_1_1,3,0.0,0.0,32928.471088124556,32928.471088124556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.884534067319711e8,1.4273625321884128e8,0.49483296049774456,0.0
SE_utilitypv_class1_moderate_70_0_2_1,1,0.0,0.0,8.162164694761586,8.162164694761586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71500.56272611149,14702.857911158995,0.20563275798932446,0.0
SE_utilitypv_class1_moderate_70_0_2_2,1,0.0,0.0,47.05611408551711,47.05611408551711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412211.55938912986,89899.5515971637,0.21809080689146337,0.0
SE_utilitypv_class1_moderate_70_0_2_3,1,0.0,0.0,3.595655295127207,3.595655295127207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31497.940385314334,5745.874665612705,0.18242064704305788,0.0
SE_utilitypv_class1_moderate_70_0_2_4,1,0.0,0.0,209438.25276080228,209438.25276080228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834679094184628e9,5.293009481397474e8,0.2884978358435923,0.0
